id,code,name
1,AGRICULTURE_FORESTRY_FISHING,"Agriculture, Forestry and Fishing"
2,MINING_QUARRYING,Mining and Quarrying
3,MANUFACTURING,Manufacturing
4,ELECTRICITY_GAS_STEAM,"Electricity, Gas, Steam and Air Conditioning Supply"
5,WATER_SUPPLY_WASTE_MANAGEMENT,"Water Supply; Sewerage, Waste Management and Remediation Activities"
6,CONSTRUCTION,Construction
7,WHOLESALE_RETAIL_TRADE,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
8,TRANSPORTATION_STORAGE,Transportation and Storage
9,ACCOMMODATION_FOOD_SERVICE,Accommodation and Food Service Activities
10,INFORMATION_COMMUNICATION,Information and Communication
11,FINANCIAL_INSURANCE_ACTIVITIES,Financial and Insurance Activities
12,REAL_ESTATE_ACTIVITIES,Real Estate Activities
13,PROFESSIONAL_SCIENTIFIC_TECHNICAL,"Professional, Scientific and Technical Activities"
14,ADMINISTRATIVE_SUPPORT_SERVICE,Administrative and Support Service Activities
15,PUBLIC_ADMINISTRATION_DEFENCE,Public Administration and Defence; Compulsory Social Security
16,EDUCATION,Education
17,HUMAN_HEALTH_SOCIAL_WORK,Human Health and Social Work Activities
18,ARTS_ENTERTAINMENT_RECREATION,"Arts, Entertainment and Recreation"
19,OTHER_SERVICE_ACTIVITIES,Other Service Activities
20,HOUSEHOLDS_AS_EMPLOYERS,Activities of Households as Employers; Undifferentiated Goods- and Services-Producing Activities of Households for Own Use
21,EXTRATERRITORIAL_ORGANIZATIONS,Activities of Extraterritorial Organizations and Bodies
1,CROP_AND_ANIMAL_PRODUCTION,"Crop and animal production, hunting and related service activities"
2,FORESTRY_AND_LOGGING,Forestry and logging
3,FISHING_AND_AQUACULTURE,Fishing and aquaculture
4,MINING_OF_COAL_AND_LIGNITE,Mining of coal and lignite
5,EXTRACTION_OF_CRUDE_PETROLEUM,Extraction of crude petroleum and natural gas
6,MINING_OF_METAL_ORES,Mining of metal ores
7,OTHER_MINING_AND_QUARRYING,Other mining and quarrying
8,MINING_SUPPORT_SERVICE,Mining support service activities
9,MANUFACTURE_OF_FOOD_PRODUCTS,Manufacture of food products
10,MANUFACTURE_OF_BEVERAGES,Manufacture of beverages
11,MANUFACTURE_OF_TOBACCO_PRODUCTS,Manufacture of tobacco products
12,MANUFACTURE_OF_TEXTILES,Manufacture of textiles
13,MANUFACTURE_OF_WEARING_APPAREL,Manufacture of wearing apparel
14,MANUFACTURE_OF_LEATHER_PRODUCTS,Manufacture of leather and related products
15,MANUFACTURE_OF_WOOD_PRODUCTS,"Manufacture of wood and of products of wood and cork, except furniture"
16,MANUFACTURE_OF_PAPER_PRODUCTS,Manufacture of paper and paper products
17,PRINTING_AND_REPRODUCTION_MEDIA,Printing and reproduction of recorded media
18,MANUFACTURE_OF_COKE_REFINED_PETROLEUM,Manufacture of coke and refined petroleum products
19,MANUFACTURE_OF_CHEMICAL_PRODUCTS,Manufacture of chemicals and chemical products
20,MANUFACTURE_OF_PHARMACEUTICAL_PRODUCTS,Manufacture of basic pharmaceutical products and pharmaceutical preparations
21,MANUFACTURE_OF_RUBBER_PLASTIC_PRODUCTS,Manufacture of rubber and plastic products
22,MANUFACTURE_OF_NON_METALLIC_MINERAL_PRODUCTS,Manufacture of other non-metallic mineral products
23,MANUFACTURE_OF_BASIC_METALS,Manufacture of basic metals
24,MANUFACTURE_OF_FABRICATED_METAL_PRODUCTS,"Manufacture of fabricated metal products, except machinery and equipment"
25,MANUFACTURE_OF_COMPUTER_ELECTRONIC_PRODUCTS,"Manufacture of computer, electronic and optical products"
26,MANUFACTURE_OF_ELECTRICAL_EQUIPMENT,Manufacture of electrical equipment
27,MANUFACTURE_OF_MACHINERY_EQUIPMENT,Manufacture of machinery and equipment n.e.c.
28,MANUFACTURE_OF_MOTOR_VEHICLES,"Manufacture of motor vehicles, trailers and semi-trailers"
29,MANUFACTURE_OF_OTHER_TRANSPORT_EQUIPMENT,Manufacture of other transport equipment
30,MANUFACTURE_OF_FURNITURE,Manufacture of furniture
31,OTHER_MANUFACTURING,Other manufacturing
32,REPAIR_INSTALLATION_MACHINERY_EQUIPMENT,Repair and installation of machinery and equipment
33,ELECTRICITY_GAS_STEAM,"Electricity, gas, steam and air conditioning supply"
34,WATER_COLLECTION_TREATMENT_SUPPLY,"Water collection, treatment and supply"
35,SEWERAGE,Sewerage
36,WASTE_MANAGEMENT,"Waste collection, treatment and disposal activities; materials recovery"
37,REMEDIATION_ACTIVITIES,Remediation activities and other waste management services
38,CONSTRUCTION_BUILDINGS,Construction of buildings
39,CIVIL_ENGINEERING,Civil engineering
40,SPECIALIZED_CONSTRUCTION_ACTIVITIES,Specialized construction activities
41,WHOLESALE_RETAIL_MOTOR_VEHICLES,Wholesale and retail trade and repair of motor vehicles and motorcycles
42,WHOLESALE_TRADE,"Wholesale trade, except of motor vehicles and motorcycles"
43,RETAIL_TRADE,"Retail trade, except of motor vehicles and motorcycles"
44,LAND_TRANSPORT_PIPELINES,Land transport and transport via pipelines
45,WATER_TRANSPORT,Water transport
46,AIR_TRANSPORT,Air transport
47,WAREHOUSING_SUPPORT_ACTIVITIES,Warehousing and support activities for transportation
48,POSTAL_COURIER_ACTIVITIES,Postal and courier activities
49,ACCOMMODATION,Accommodation
50,FOOD_BEVERAGE_SERVICE,Food and beverage service activities
51,PUBLISHING_ACTIVITIES,Publishing activities
52,MOTION_PICTURE_PRODUCTION,"Motion picture, video and television programme production, sound recording and music publishing activities"
53,BROADCASTING_ACTIVITIES,Programming and broadcasting activities
54,TELECOMMUNICATIONS,Telecommunications
55,COMPUTER_PROGRAMMING_CONSULTANCY,"Computer programming, consultancy and related activities"
56,INFORMATION_SERVICE_ACTIVITIES,Information service activities
57,FINANCIAL_SERVICE_ACTIVITIES,"Financial service activities, except insurance and pension funding"
58,INSURANCE_ACTIVITIES,"Insurance, reinsurance and pension funding, except compulsory social security"
59,AUXILIARY_FINANCIAL_INSURANCE_ACTIVITIES,Activities auxiliary to financial services and insurance activities
60,REAL_ESTATE_ACTIVITIES,Real estate activities
