id,code,name
1,ARABIC,Arabic
2,BENGALI,Bengali
3,BULGARIAN,Bulgarian
4,CHINESE,Chinese
5,CROATIAN,Croatian
6,CZECH,Czech
7,DANISH,Danish
8,DUTCH,Dutch
9,ENGLISH,English
10,ESTONIAN,Estonian
11,FINNISH,Finnish
12,FRENCH,French
13,GERMAN,German
14,GREEK,Greek
15,HINDI,Hindi
16,HUNGARIAN,Hungarian
17,IRISH,Irish
18,ITALIAN,Italian
19,JAPANESE,Japanese
20,LATVIAN,Latvian
21,LITHUANIAN,Lithuanian
22,MALAY,Malay
23,MALTESE,Maltese
24,POLISH,Polish
25,PORTUGUESE,Portuguese
26,PUNJABI,Punjabi
27,ROMANIAN,Romanian
28,SLOVAK,Slovak
29,SLOVENIAN,Slovenian
30,SPANISH,Spanish
31,SWEDISH,Swedish
32,URDU,Urdu
